alive,alive_since,anonymity,average_timeout,first_seen,ip_data_as,ip_data_asname,ip_data_city,ip_data_continent,ip_data_continentCode,ip_data_country,ip_data_countryCode,ip_data_district,ip_data_hosting,ip_data_isp,ip_data_lat,ip_data_lon,ip_data_mobile,ip_data_org,ip_data_proxy,ip_data_regionName,ip_data_status,ip_data_timezone,ip_data_zip,ip_data_last_update,last_seen,port,protocol,proxy,ssl,timeout,times_alive,times_dead,uptime,ip
true,1759218127.0127,elite,110.63676082682,1742508773.0946,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,"New York","North America",NA,"United States",US,,true,"Cloudflare London, LLC",40.7191,-74.0091,false,"Olo Inc",true,"New York",success,America/New_York,10013,1762848927,1762954709.7036,80,http,http://216.205.52.223:80,false,189.39876556396,80754,3143,96.253739704638,216.205.52.223
true,1758178269.4768,elite,110.12141243688,1742547553.6222,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,"San Jose","North America",NA,"United States",US,"Ballbach and SOFA",true,"Cloudflare London, LLC",37.3329,-121.895,false,"Zoom Video Communications, Inc",true,California,success,America/Los_Angeles,95113,1762849324,1762954709.6867,80,http,http://170.114.45.199:80,false,201.16400718689,80226,663,99.180358268739,170.114.45.199
true,1758185837.8922,elite,111.60489461811,1742340268.3275,"AS201839 Zaymer PJSC",ZAYMER2-AS,Novosibirsk,Europe,EU,Russia,RU,,false,"MFC Zaymer LLC",55.0386,82.9425,false,"Zaymer PJSC",true,"Novosibirsk Oblast",success,Asia/Novosibirsk,630000,1762849475,1762954709.6515,80,http,http://45.67.215.138:80,false,68.896770477295,81067,3383,95.994079336886,45.67.215.138
true,1759208419.7799,elite,109.97972326678,1720503324.5306,"AS13335 Cloudflare, Inc.",CLOUDFLARENET,Washington,"North America",NA,"United States",US,,true,"Cloudflare, Inc.",38.9072,-77.0369,false,"CloudFlare, Inc.",false,"District of Columbia",success,America/New_York,20068,1762848811,1762954709.616,80,http,http://141.101.114.34:80,false,32.400369644165,81440,4683,94.562428155081,141.101.114.34
true,1761555813.1508,elite,110.9241625954,1742547464.3736,"AS14197 HEALTH MARKET SCIENCE",HMS-ASN,"Boca Raton","North America",NA,"United States",US,,false,"Health Market Science",26.4076,-80.0977,false,"LexisNexis Risk Data Management Inc",true,Florida,success,America/New_York,33487,1762848805,1762954709.4032,80,http,http://69.84.182.208:80,false,54.494619369507,83123,3213,96.278493328391,69.84.182.208
true,1762616641.7212,elite,121.19097335697,1756297066.4663,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,Moscow,Europe,EU,Russia,RU,,true,"Cloudflare London, LLC",55.8273,37.4661,false,"""BaltTrade"" LLC",true,Moscow,success,Europe/Moscow,,1762951366,1762954709.3802,80,http,http://185.221.160.210:80,false,50.18949508667,44670,102,99.772179040472,185.221.160.210
true,1758179414.4118,elite,111.22377104984,1742459523.4089,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,"San Jose","North America",NA,"United States",US,"Ballbach and SOFA",true,"Cloudflare London, LLC",37.3329,-121.895,false,"Zoom Video Communications, Inc",true,California,success,America/Los_Angeles,95113,1762848875,1762954709.2767,80,http,http://170.114.45.88:80,false,130.61666488647,80139,969,98.805296641515,170.114.45.88
true,1758183591.6127,elite,110.66293109873,1742521779.3386,"AS201839 Zaymer PJSC",ZAYMER2-AS,Novosibirsk,Europe,EU,Russia,RU,,false,"MFC Zaymer LLC",55.0386,82.9425,false,"Zaymer PJSC",true,"Novosibirsk Oblast",success,Asia/Novosibirsk,630000,1762849023,1762954708.8534,80,http,http://45.67.215.235:80,false,31.947612762451,80974,764,99.06530622232,45.67.215.235
true,1759218135.3521,elite,110.39346642419,1742522571.3021,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,"San Jose","North America",NA,"United States",US,"Ballbach and SOFA",true,"Cloudflare London, LLC",37.3329,-121.895,false,"Zoom Video Communications, Inc",true,California,success,America/Los_Angeles,95113,1762848782,1762954708.8429,80,http,http://170.114.45.31:80,false,27.588129043579,80454,3282,96.080538836343,170.114.45.31
true,1761572826.6901,elite,121.14959825655,1756297082.4341,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,Moscow,Europe,EU,Russia,RU,,true,"Cloudflare London, LLC",55.8273,37.4661,false,"""BaltTrade"" LLC",true,Moscow,success,Europe/Moscow,,1762951197,1762954708.8394,80,http,http://185.221.160.13:80,false,44.023752212524,44676,89,99.801183960684,185.221.160.13
true,1761066655.5693,elite,139.4233027678,1761066655.5693,"AS13335 Cloudflare, Inc.",CLOUDFLARENET,"San Francisco","North America",NA,"United States",US,"South Beach",true,"Cloudflare, Inc.",37.7803,-122.39,false,"Level 3",false,California,success,America/Los_Angeles,94107,1762881417,1762954708.7963,80,http,http://8.35.211.133:80,false,55.891752243042,13661,0,100,8.35.211.133
true,1761555960.4249,elite,121.84904125248,1756296784.6683,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,"San Jose","North America",NA,"United States",US,"Ballbach and SOFA",true,"Cloudflare London, LLC",37.3329,-121.895,false,"Zoom Video Communications, Inc",true,California,success,America/Los_Angeles,95113,1762951003,1762954708.7879,80,http,http://170.114.45.11:80,false,40.587663650513,44375,91,99.795349255611,170.114.45.11
true,1761066320.4758,elite,140.69410299747,1761066320.4758,"AS13335 Cloudflare, Inc.",CLOUDFLARENET,"San Francisco","North America",NA,"United States",US,"South Beach",true,"Cloudflare, Inc.",37.7803,-122.39,false,"Level 3",false,California,success,America/Los_Angeles,94107,1762881106,1762954708.5725,80,http,http://8.35.211.120:80,false,405.85732460022,13670,0,100,8.35.211.120
true,1759208314.9347,elite,111.20894913237,1742480546.3758,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,"New York","North America",NA,"United States",US,,true,"Cloudflare London, LLC",40.7191,-74.0091,false,"Olo Inc",true,"New York",success,America/New_York,10013,1762848604,1762954708.3119,80,http,http://216.205.52.169:80,false,93.586683273315,80684,914,98.879874506728,216.205.52.169
